,zaman_mazi_sadeh,zaman_mazi_estemrari,zaman_mazi_baeid,zaman_mazi_eltezami,mazi_mostamar,mozare_ekhbari,mozare_eltezami,mozare_estemrari,َAyandeh,Amr
0,آب دادم,آب می دادم,آب داده بودم,آب داده باشم,داشتم آب می دادم,آب می دم,آب بدم,دارم آب می دم,می خوام آب بدم,-
1,آب دادی,آب می دادی,آب داده بودی,آب داده باشی,داشتی آب می دادی,آب می دی,آب بدی,داری آب می دی,می خوای آب بدی,آب بده
2,آب داد,آب می داد,آب داده بود,آب داده باش,داشته آب می داده,آب می ده,آب بده,داره آب می ده,می خواد آب بده,آب بده
3,آب دادیم,آب می دادیم,آب داده بودیم,آب داده باشیم,داشتیم آب می دادیم,آب می دیم,آب بدیم,داریم آب می دیم,می خوایم آب بدیم,آب بدیم
4,آب دادین,آب می دادین,آب داده بودین,آب داده باشین,داشتین آب می دادین,آب می دین,آب بدین,دارین آب می دین,می خواین آب بدین,آب بدین
5,آب دادن,آب می دادن,آب داده بودن,آب داده باشن,داشتن آب می دادن,آب می دن,آب بدن,دارن آب می دن,می خوان آب بدن,آب بدن
6,آرایش کردم,آرایش می کردم,آرایش کرده بودم,آرایش کرده باشم,داشتم آرایش می کردم,آرایش می کنم,آرایش بکنم,دارم آرایش می کنم,می خوام آرایش بکنم,-
7,آرایش کردی,آرایش می کردی,آرایش کرده بودی,آرایش کرده باشی,داشتی آرایش می کردی,آرایش می کنی,آرایش بکنی,داری آرایش می کنی,می خوای آرایش بکنی,آرایش بکن
8,آرایش کرد,آرایش می کرد,آرایش کرده بود,آرایش کرده باش,داشته آرایش می کرده,آرایش می کنه,آرایش بکنه,داره آرایش می کنه,می خواد آرایش بکنه,آرایش بکنه
9,آرایش کردیم,آرایش می کردیم,آرایش کرده بودیم,آرایش کرده باشیم,داشتیم آرایش می کردیم,آرایش می کنیم,آرایش بکنیم,داریم آرایش می کنیم,می خوایم آرایش بکنیم,آرایش بکنیم
10,آرایش کردین,آرایش می کردین,آرایش کرده بودین,آرایش کرده باشین,داشتین آرایش می کردین,آرایش می کنین,آرایش بکنین,دارین آرایش می کنین,می خواین آرایش بکنین,آرایش بکنین
11,آرایش کردن,آرایش می کردن,آرایش کرده بودن,آرایش کرده باشن,داشتن آرایش می کردن,آرایش می کنن,آرایش بکنن,دارن آرایش می کنن,می خوان آرایش بکنن,آرایش بکنن
12,آسیاب کردم,آسیاب می کردم,آسیاب کرده بودم,آسیاب کرده باشم,داشتم آسیاب می کردم,آسیاب می کنم,آسیاب بکنم,دارم آسیاب می کنم,می خوام آسیاب بکنم,-
13,آسیاب کردی,آسیاب می کردی,آسیاب کرده بودی,آسیاب کرده باشی,داشتی آسیاب می کردی,آسیاب می کنی,آسیاب بکنی,داری آسیاب می کنی,می خوای آسیاب بکنی,آسیاب بکن
14,آسیاب کرد,آسیاب می کرد,آسیاب کرده بود,آسیاب کرده باش,داشته آسیاب می کرده,آسیاب می کنه,آسیاب بکنه,داره آسیاب می کنه,می خواد آسیاب بکنه,آسیاب بکنه
15,آسیاب کردیم,آسیاب می کردیم,آسیاب کرده بودیم,آسیاب کرده باشیم,داشتیم آسیاب می کردیم,آسیاب می کنیم,آسیاب بکنیم,داریم آسیاب می کنیم,می خوایم آسیاب بکنیم,آسیاب بکنیم
16,آسیاب کردین,آسیاب می کردین,آسیاب کرده بودین,آسیاب کرده باشین,داشتین آسیاب می کردین,آسیاب می کنین,آسیاب بکنین,دارین آسیاب می کنین,می خواین آسیاب بکنین,آسیاب بکنین
17,آسیاب کردن,آسیاب می کردن,آسیاب کرده بودن,آسیاب کرده باشن,داشتن آسیاب می کردن,آسیاب می کنن,آسیاب بکنن,دارن آسیاب می کنن,می خوان آسیاب بکنن,آسیاب بکنن
18,اومدم,می اومدم,اومده بودم,اومده باشم,داشتم  می اومدم,می ام,بیام,دارم  می ام,می خوام بیام,-
19,اومدی,می اومدی,اومده بودی,اومده باشی,داشتی  می اومدی,می ای,بیای,داری  می ای,می خوای بیای,بیا
20,اومد,می اومد,اومده بود,اومده باش,داشته  می اومده,می اد,بیاد,داره  می اد,می خواد بیاد,بیاد
21,اومدیم,می اومدیم,اومده بودیم,اومده باشیم,داشتیم  می اومدیم,می ایم,بیایم,داریم  می ایم,می خوایم بیایم,بیایم
22,اومدین,می اومدین,اومده بودین,اومده باشین,داشتین  می اومدین,می این,بیاین,دارین  می این,می خواین بیاین,بیاین
23,اومدن,می اومدن,اومده بودن,اومده باشن,داشتن  می اومدن,می ان,بان,دارن  می ان,می خوان بیان,بیان
24,آواز خوندم,آواز می خوندم,آواز خونده بودم,آواز خونده باشم,داشتم آواز می خوندم,آواز می خونم,آواز بخونم,دارم آواز می خونم,می خوام آواز بخونم,-
25,آواز خوندی,آواز می خوندی,آواز خونده بودی,آواز خونده باشی,داشتی آواز می خوندی,آواز می خونی,آواز بخونی,داری آواز می خونی,می خوای آواز بخونی,آواز بخون
26,آواز خوند,آواز می خوند,آواز خونده بود,آواز خونده باش,داشته آواز می خونده,آواز می خونه,آواز بخونه,داره آواز می خونه,می خواد آواز بخونه,آواز بخونه
27,آواز خوندیم,آواز می خوندیم,آواز خونده بودیم,آواز خونده باشیم,داشتیم آواز می خوندیم,آواز می خونیم,آواز بخونیم,داریم آواز می خونیم,می خوایم آواز بخونیم,آواز بخونیم
28,آواز خوندین,آواز می خوندین,آواز خونده بودین,آواز خونده باشین,داشتین آواز می خوندین,آواز می خونین,آواز بخونین,دارین آواز می خونین,می خواین آواز بخونین,آواز بخونین
29,آواز خوندن,آواز می خوندن,آواز خونده بودن,آواز خونده باشن,داشتن آواز می خوندن,آواز می خونن,آواز بخونن,دارن آواز می خونن,می خوان آواز بخونن,آواز بخونن
30,آوردم,می آوردم,آورده بودم,آورده باشم,داشتم  می آوردم,می ارم,بیارم,دارم  می ارم,می خوام بیارم,-
31,آوردی,می آوردی,آورده بودی,آورده باشی,داشتی  می آوردی,می اری,بیاری,داری  می اری,می خوای بیاری,بیار
32,آورد,می آورد,آورده بود,آورده باش,داشته  می آورده,می اره,بیاره,داره  می اره,می خواد بیاره,بیاره
33,آوردیم,می آوردیم,آورده بودیم,آورده باشیم,داشتیم  می آوردیم,می اریم,بیاریم,داریم  می اریم,می خوایم بیاریم,بیاریم
34,آوردین,می آوردین,آورده بودین,آورده باشین,داشتین  می آوردین,می ارین,بیارین,دارین  می ارین,می خواین بیارین,بیارین
35,آوردن,می آوردن,آورده بودن,آورده باشن,داشتن  می آوردن,می ارن,بیارن,دارن  می ارن,می خوان بیارن,بیارن
36,آویزون کردم,آویزون می کردم,آویزون کرده بودم,آویزون کرده باشم,داشتم آویزون می کردم,آویزون می کنم,آویزون بکنم,دارم آویزون می کنم,می خوام آویزون بکنم,-
37,آویزون کردی,آویزون می کردی,آویزون کرده بودی,آویزون کرده باشی,داشتی آویزون می کردی,آویزون می کنی,آویزون بکنی,داری آویزون می کنی,می خوای آویزون بکنی,آویزون بکن
38,آویزون کرد,آویزون می کرد,آویزون کرده بود,آویزون کرده باش,داشته آویزون می کرده,آویزون می کنه,آویزون بکنه,داره آویزون می کنه,می خواد آویزون بکنه,آویزون بکنه
39,آویزون کردیم,آویزون می کردیم,آویزون کرده بودیم,آویزون کرده باشیم,داشتیم آویزون می کردیم,آویزون می کنیم,آویزون بکنیم,داریم آویزون می کنیم,می خوایم آویزون بکنیم,آویزون بکنیم
40,آویزون کردین,آویزون می کردین,آویزون کرده بودین,آویزون کرده باشین,داشتین آویزون می کردین,آویزون می کنین,آویزون بکنین,دارین آویزون می کنین,می خواین آویزون بکنین,آویزون بکنین
41,آویزون کردن,آویزون می کردن,آویزون کرده بودن,آویزون کرده باشن,داشتن آویزون می کردن,آویزون می کنن,آویزون بکنن,دارن آویزون می کنن,می خوان آویزون بکنن,آویزون بکنن
42,ادامه دادم,ادامه می دادم,ادامه داده بودم,ادامه داده باشم,داشتم ادامه می دادم,ادامه می دم,ادامه بدم,دارم ادامه می دم,می خوام ادامه بدم,-
43,ادامه دادی,ادامه می دادی,ادامه داده بودی,ادامه داده باشی,داشتی ادامه می دادی,ادامه می دی,ادامه بدی,داری ادامه می دی,می خوای ادامه بدی,ادامه بد
44,ادامه داد,ادامه می داد,ادامه داده بود,ادامه داده باش,داشته ادامه می داده,ادامه می ده,ادامه بده,داره ادامه می ده,می خواد ادامه بده,ادامه بده
45,ادامه دادیم,ادامه می دادیم,ادامه داده بودیم,ادامه داده باشیم,داشتیم ادامه می دادیم,ادامه می دیم,ادامه بدیم,داریم ادامه می دیم,می خوایم ادامه بدیم,ادامه بدیم
46,ادامه دادین,ادامه می دادین,ادامه داده بودین,ادامه داده باشین,داشتین ادامه می دادین,ادامه می دین,ادامه بدین,دارین ادامه می دین,می خواین ادامه بدین,ادامه بدین
47,ادامه دادن,ادامه می دادن,ادامه داده بودن,ادامه داده باشن,داشتن ادامه می دادن,ادامه می دن,ادامه بدن,دارن ادامه می دن,می خوان ادامه بدن,ادامه بدن
48,ارزیدم,می ارزیدم,ارزیده بودم,ارزیده باشم,داشتم  می ارزیدم,می ارزم,بیارزم,دارم  می ارزم,می خوام بیارزم,-
49,ارزیدی,می ارزیدی,ارزیده بودی,ارزیده باشی,داشتی  می ارزیدی,می ارزی,بیارزی,داری  می ارزی,می خوای بیارزی,بیارز
50,ارزید,می ارزید,ارزیده بود,ارزیده باش,داشته  می ارزیده,می ارزه,بیارزه,داره  می ارزه,می خواد بیارزه,بیارزه
51,ارزیدیم,می ارزیدیم,ارزیده بودیم,ارزیده باشیم,داشتیم  می ارزیدیم,می ارزیم,بیارزیم,داریم  می ارزیم,می خوایم بیارزیم,بیارزیم
52,ارزیدین,می ارزیدین,ارزیده بودین,ارزیده باشین,داشتین  می ارزیدین,می ارزین,بیارزین,دارین  می ارزین,می خواین بیارزین,بیارزین
53,ارزیدن,می ارزیدن,ارزیده بودن,ارزیده باشن,داشتن  می ارزیدن,می ارزن,بیارزن,دارن  می ارزن,می خوان بیارزن,بیارزن
54,استراحت کردم,استراحت می کردم,استراحت کرده بودم,استراحت کرده باشم,داشتم استراحت می کردم,استراحت می کنم,استراحت بکنم,دارم استراحت می کنم,می خوام استراحت بکنم,-
55,استراحت کردی,استراحت می کردی,استراحت کرده بودی,استراحت کرده باشی,داشتی استراحت می کردی,استراحت می کنی,استراحت بکنی,داری استراحت می کنی,می خوای استراحت بکنی,استراحت بکن
56,استراحت کرد,استراحت می کرد,استراحت کرده بود,استراحت کرده باش,داشته استراحت می کرده,استراحت می کنه,استراحت بکنه,داره استراحت می کنه,می خواد استراحت بکنه,استراحت بکنه
57,استراحت کردیم,استراحت می کردیم,استراحت کرده بودیم,استراحت کرده باشیم,داشتیم استراحت می کردیم,استراحت می کنیم,استراحت بکنیم,داریم استراحت می کنیم,می خوایم استراحت بکنیم,استراحت بکنیم
