,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
0,آب دادن,آب دادم,آب می‌دادم,داشتم آب می‌دادم,آب داده‌ام,آب داده بودم,آب دهم,آب می‌دهم,دارم آب می‌دهم,آب خواهم داد,آب داده باشم,آب بدهم,-
1,دادن,آب دادی,آب می‌دادی,داشتی آب می‌دادی,آب داده‌ای,آب داده بودی,آب دهی,آب می‌دهی,داری آب می‌دهی,آب خواهی داد,آب داده باشی,آب بدهی,آب بده
2,داد,آب داد,آب می‌داد,داشت آب می‌داد,آب داده(است),آب داده بود,آب دهد,آب می‌دهد,دارد آب می‌دهد,آب خواهد داد,آب داده باشد,آب بدهد,آب بدهد
3,داده,آب دادیم,آب می‌دادیم,داشتیم آب می‌دادیم,آب داده‌ایم,آب داده بودیم,آب دهیم,آب می‌دهیم,داریم آب می‌دهیم,آب خواهیم داد,آب داده باشیم,آب بدهیم,آب بدهیم
4,ده,آب دادید,آب می‌دادید,داشتید آب می‌دادید,آب داده‌اید,آب داده بودید,آب دهید,آب می‌دهید,دارید آب می‌دهید,آب خواهید داد,آب داده باشید,آب بدهید,آب بدهید
5,-,آب دادند,آب می‌دادند,داشتند آب می‌دادند,آب داده‌اند,آب داده بودند,آب دهند,آب می‌دهند,دارند آب می‌دهند,آب خواهند داد,آب داده باشند,آب بدهند,آب بدهند
0,آرایش کردن,آرایش کردم,آرایش می‌کردم,داشتم آرایش می‌کردم,آرایش کرده‌ام,آرایش کرده بودم,آرایش کنم,آرایش می‌کنم,دارم آرایش می‌کنم,آرایش خواهم کرد,آرایش کرده باشم,آرایش بکنم,-
1,کردن,آرایش کردی,آرایش می‌کردی,داشتی آرایش می‌کردی,آرایش کرده‌ای,آرایش کرده بودی,آرایش کنی,آرایش می‌کنی,داری آرایش می‌کنی,آرایش خواهی کرد,آرایش کرده باشی,آرایش بکنی,آرایش بکن
2,کرد,آرایش کرد,آرایش می‌کرد,داشت آرایش می‌کرد,آرایش کرده(است),آرایش کرده بود,آرایش کند,آرایش می‌کند,دارد آرایش می‌کند,آرایش خواهد کرد,آرایش کرده باشد,آرایش بکند,آرایش بکند
3,کرده,آرایش کردیم,آرایش می‌کردیم,داشتیم آرایش می‌کردیم,آرایش کرده‌ایم,آرایش کرده بودیم,آرایش کنیم,آرایش می‌کنیم,داریم آرایش می‌کنیم,آرایش خواهیم کرد,آرایش کرده باشیم,آرایش بکنیم,آرایش بکنیم
